"row_id","sobject_id","cluster_name"
"196","131123001701174","47 Tuc"
"197","131123001701176","47 Tuc"
"198","131123001701178","47 Tuc"
"199","131123001701179","47 Tuc"
"200","131123001701187","47 Tuc"
"201","131123001701206","47 Tuc"
"202","131123001701212","47 Tuc"
"203","131123001701215","47 Tuc"
"204","131123001701217","47 Tuc"
"205","131123001701226","47 Tuc"
"206","131123001701238","47 Tuc"
"207","131123001701242","47 Tuc"
"208","131123001701249","47 Tuc"
"209","131123001701261","47 Tuc"
"210","131123001701262","47 Tuc"
"211","131123001701263","47 Tuc"
"212","131123001701264","47 Tuc"
"213","131123001701268","47 Tuc"
"214","131123001701269","47 Tuc"
"215","131123001701270","47 Tuc"
"216","131123001701274","47 Tuc"
"217","131123001701275","47 Tuc"
"218","131123001701276","47 Tuc"
"219","131123001701280","47 Tuc"
"220","131123001701282","47 Tuc"
"221","131123001701283","47 Tuc"
"222","131123001701284","47 Tuc"
"223","131123001701285","47 Tuc"
"224","131123001701286","47 Tuc"
"225","131123001701287","47 Tuc"
"226","131123001701289","47 Tuc"
"227","131123001701290","47 Tuc"
"228","131123001701291","47 Tuc"
"229","131123001701292","47 Tuc"
"230","131123001701293","47 Tuc"
"231","131123001701294","47 Tuc"
"232","131123001701296","47 Tuc"
"233","131123001701303","47 Tuc"
"234","131123001701305","47 Tuc"
"235","131123001701309","47 Tuc"
"236","131123001701311","47 Tuc"
"237","131123001701314","47 Tuc"
"238","131123001701319","47 Tuc"
"239","131123001701322","47 Tuc"
"240","131123001701324","47 Tuc"
"241","131123001701326","47 Tuc"
"242","131123001701330","47 Tuc"
"243","131123001701331","47 Tuc"
"244","131123001701333","47 Tuc"
"245","131123001701335","47 Tuc"
"246","131123001701336","47 Tuc"
"247","131123001701337","47 Tuc"
"248","131123001701338","47 Tuc"
"249","131123001701339","47 Tuc"
"250","131123001701340","47 Tuc"
"251","131123001701341","47 Tuc"
"252","131123001701342","47 Tuc"
"253","131123001701343","47 Tuc"
"254","131123001701344","47 Tuc"
"255","131123001701345","47 Tuc"
"256","131123001701349","47 Tuc"
"257","131123001701353","47 Tuc"
"258","131123001701356","47 Tuc"
"259","131123001701357","47 Tuc"
"260","131123001701360","47 Tuc"
"261","131123001701361","47 Tuc"
"262","131123001701362","47 Tuc"
"263","131123001701363","47 Tuc"
"264","131123001701364","47 Tuc"
"265","131123001701366","47 Tuc"
"266","131123001701367","47 Tuc"
"267","131123001701368","47 Tuc"
"268","131123001701369","47 Tuc"
"269","131123001701370","47 Tuc"
"270","131123001701371","47 Tuc"
"271","131123001701372","47 Tuc"
"272","131123001701376","47 Tuc"
"273","131123001701377","47 Tuc"
"274","131123001701378","47 Tuc"
"275","131123001701379","47 Tuc"
"276","131123001701380","47 Tuc"
"277","131123001701382","47 Tuc"
"278","131123001701383","47 Tuc"
"279","131123001701389","47 Tuc"
"280","131123001701394","47 Tuc"
"281","131123001701395","47 Tuc"
"282","131123001701398","47 Tuc"
"283","131123002001091","NGC362"
"284","131123002001110","NGC362"
"285","131123002001122","NGC362"
"286","131123002001178","NGC362"
"287","131123002001187","NGC362"
"288","131123002001188","NGC362"
"289","131123002001214","NGC362"
"290","131123002001243","NGC362"
"291","131123002001254","NGC362"
"292","131123002001259","NGC362"
"293","131123002001267","NGC362"
"294","131123002001279","NGC362"
"295","131123002001295","NGC362"
"296","131123002001335","NGC362"
"297","131123002001363","NGC362"
"298","131123002001373","NGC362"
"299","131218003001005","M67"
"300","131218003001006","M67"
"301","131218003001012","M67"
"302","131218003001017","M67"
"303","131218003001019","M67"
"304","131218003001021","M67"
"305","131218003001024","M67"
"306","131218003001041","M67"
"307","131218003001046","M67"
"308","131218003001049","M67"
"309","131218003001085","M67"
"310","131218003001086","M67"
"311","131218003001090","M67"
"312","131218003001099","M67"
"313","131218003001107","M67"
"314","131218003001113","M67"
"315","131218003001124","M67"
"316","131218003001133","M67"
"317","131218003001140","M67"
